SupplierID,SupplierName,Service ID,Service Type,Service Status,Description,Location Code,Itin Description,From Date,To Date,Op Days,Vchr Type,Manifest Code,Currency,Block Type,Comm Timing,Block Code,Max Child Age,Destination,To Destination,Contract Thru,Vchr Notes,Duration,Min Dur,Max Dur,Per Room Price,Per Duration,First Nt Rate,Per 24 Hrs,Desig1,Mask1,Ix1,Desig2,Mask2,Ix2,Desig3,Mask3,Ix3,Desig4,Mask4,Ix4,Desig5,Mask5,Ix5,Desig6,Mask6,Ix6,Desig7,Mask7,Ix7,Desig8,Mask8,Ix8,Divisible,WhoStamp,DateStamp
"CR-DR-POP-CASCOL","Casa Colonial Beach and Spa","AIR-HTL-PVT-POPZONEA","TRF","LOADING","One Way Private Transfer from Puerto Plata Airport to Hotel - Payable at Resort","","<ul><b>Non-Inclusion:</b>
<li>One Way Private Transfer Arranged at USD50 (1-4 Passengers), USD96 (5-10 Passengers) Payable at Resort</li><li>Transfer Cost Subject to Change</li></ul>","01 Jan 2025","31 Dec 2026","","","","USD","R","O","","0","POP","","","","0","0","0","Y","N","N","N","Service","M1-10","Y","","","","","","","","","","","","","","","","","","","","","","N","IDLoading","05 Jun 2026 06:44:16 AM"
"CR-DR-POP-CASCOL","Casa Colonial Beach and Spa","AIR-HTL-PVT-PUJZONEA","TRF","LOADING","One Way Private Transfer from Punta Cana Airport to Hotel - Payable at Resort","","<ul><b>Non-Inclusion:</b>
<li>One Way Private Transfer Arranged at USD460 (1-4 Passengers), USD674 (5-10 Passengers) Payable at Resort</li><li>Transfer Cost Subject to Change</li></ul>","01 Jan 2025","31 Dec 2026","","","","USD","R","O","","0","POP","","","","0","0","0","Y","N","N","N","Service","M1-10","Y","","","","","","","","","","","","","","","","","","","","","","N","IDLoading","05 Jun 2026 06:44:16 AM"
"CR-DR-POP-CASCOL","Casa Colonial Beach and Spa","AIR-HTL-PVT-SDQZONEA","TRF","LOADING","One Way Private Transfer from Domingo Airport to Hotel - Payable at Resort","","<ul><b>Non-Inclusion:</b>
<li>One Way Private Transfer Arranged at USD295 (1-4 Passengers), USD433 (5-10 Passengers) Payable at Resort</li><li>Transfer Cost Subject to Change</li></ul>","01 Jan 2025","31 Dec 2026","","","","USD","R","O","","0","POP","","","","0","0","0","Y","N","N","N","Service","M1-10","Y","","","","","","","","","","","","","","","","","","","","","","N","IDLoading","05 Jun 2026 06:44:16 AM"
"CR-DR-POP-CASCOL","Casa Colonial Beach and Spa","AIR-HTL-PVT-STIZONEA","TRF","LOADING","One Way Private Transfer from Santiago Airport to Hotel - Payable at Resort","","<ul><b>Non-Inclusion:</b>
<li>One Way Private Transfer Arranged at USD130 (1-4 Passengers), USD240 (5-10 Passengers) Payable at Resort</li><li>Transfer Cost Subject to Change</li></ul>","01 Jan 2025","31 Dec 2026","","","","USD","R","O","","0","POP","","","","0","0","0","Y","N","N","N","Service","M1-10","Y","","","","","","","","","","","","","","","","","","","","","","N","IDLoading","05 Jun 2026 06:44:16 AM"
"CR-DR-POP-CASCOL","Casa Colonial Beach and Spa","HTL-AIR-PVT-POPZONEA","TRF","LOADING","One Way Private Transfer from Hotel to Puerto Plata Airport - Payable at Resort","","<ul><b>Non-Inclusion:</b>
<li>One Way Private Transfer Arranged at USD50 (1-4 Passengers), USD96 (5-10 Passengers) Payable at Resort</li><li>Transfer Cost Subject to Change</li></ul>","01 Jan 2025","31 Dec 2026","","","","USD","R","O","","0","POP","","","","0","0","0","Y","N","N","N","Service","M1-10","Y","","","","","","","","","","","","","","","","","","","","","","N","IDLoading","05 Jun 2026 06:44:16 AM"
"CR-DR-POP-CASCOL","Casa Colonial Beach and Spa","HTL-AIR-PVT-PUJZONEA","TRF","LOADING","One Way Private Transfer from Hotel to Punta Cana Airport - Payable at Resort","","<ul><b>Non-Inclusion:</b>
<li>One Way Private Transfer Arranged at USD460 (1-4 Passengers), USD674 (5-10 Passengers) Payable at Resort</li><li>Transfer Cost Subject to Change</li></ul>","01 Jan 2025","31 Dec 2026","","","","USD","R","O","","0","POP","","","","0","0","0","Y","N","N","N","Service","M1-10","Y","","","","","","","","","","","","","","","","","","","","","","N","IDLoading","05 Jun 2026 06:44:16 AM"
"CR-DR-POP-CASCOL","Casa Colonial Beach and Spa","HTL-AIR-PVT-SDQZONEA","TRF","LOADING","One Way Private Transfer from Hotel to Domingo Airport - Payable at Resort","","<ul><b>Non-Inclusion:</b>
<li>One Way Private Transfer Arranged at USD295 (1-4 Passengers), USD433 (5-10 Passengers) Payable at Resort</li><li>Transfer Cost Subject to Change</li></ul>","01 Jan 2025","31 Dec 2026","","","","USD","R","O","","0","POP","","","","0","0","0","Y","N","N","N","Service","M1-10","Y","","","","","","","","","","","","","","","","","","","","","","N","IDLoading","05 Jun 2026 06:44:16 AM"
"CR-DR-POP-CASCOL","Casa Colonial Beach and Spa","HTL-AIR-PVT-STIZONEA","TRF","LOADING","One Way Private Transfer from Hotel to Santiago Airport - Payable at Resort","","<ul><b>Non-Inclusion:</b>
<li>One Way Private Transfer Arranged at USD130 (1-4 Passengers), USD240 (5-10 Passengers) Payable at Resort</li><li>Transfer Cost Subject to Change</li></ul>","01 Jan 2025","31 Dec 2026","","","","USD","R","O","","0","POP","","","","0","0","0","Y","N","N","N","Service","M1-10","Y","","","","","","","","","","","","","","","","","","","","","","N","IDLoading","05 Jun 2026 06:44:16 AM"
"CR-DR-POP-CASCOL","Casa Colonial Beach and Spa","ID-FIT-1STETP-BP","HTL","LOADING","One Bedroom Suite Tropical View - Breakfast Rate","","Inclusions
<ul>
<li>Daily Breakfast served in Veranda Restaurant</li><li>Wi-Fi</li>
</ul>","16 Jan 2025","13 May 2026","","","","USD","R","O","CR-DR-POP-CASCOL-ID-FIT-1STETP-BP","11","POP","","","","0","0","0","Y","N","N","N","One Bedroom","A/AA","Y","","","","","","","","","","","","","","","","","","","","","","N","IDLoading","05 Jun 2026 06:44:16 AM"
"CR-DR-POP-CASCOL","Casa Colonial Beach and Spa","ID-FIT-JRSOF-BP","HTL","LOADING","Junior Suite Ocean Front - Breakfast Rate","","<b>Inclusions:</b>
<li>Daily Breakfast served in Veranda Restaurant</li><li>Wi-Fi</li>","16 Jan 2025","31 Dec 2099","","","","USD","R","O","CR-DR-POP-CASCOL-ID-FIT-JRSOF-BP","11","POP","","","","0","0","0","Y","N","N","N","One Bedroom","A/AA/AAC/AACC","Y","One Bedroom","AAA","Y","","","","","","","","","","","","","","","","","","","N","IDLoading","05 Jun 2026 06:44:16 AM"
